,хлорка по улице,X,cluster
0,нет,ні,-1
1,Карантин,карантин,2
2,Медицинская реформа,медична реформа,-1
3,короновирус,короновірус,0
4,изнасилование девушки в киеской области,зґвалтування дівчини у київській області,-1
5,нет,ні,-1
6,кагарлык,впертість,-1
7,Огрнаничения из-за карантина,обмеження через карантин,-1
8,нет,ні,-1
9,стельба в броварах,стрельба в броварах,-1
10,Карантин,карантин,2
11,работа ВР,робота вр,-1
12,Изнасилование девушки в Броварах: перестрелка в Киеве,зґвалтування дівчини у броварах: перестрілка у Києві,-1
13,пожары,пожежі,-1
14,карантин,карантин,2
15,события с полицией,події з поліцією,-1
16,Короновирус,короновірус,0
17,Принятие законов относительно бизнеса и экономики,прийняття законів щодо бізнесу та економіки,-1
18,карантин,карантин,1
19,организация карантинных мер,організація карантинних заходів,-1
20,политика,політика,-1
21,Рынок земли,ринок землі,0
22,беспредел в полиции,свавілля в поліції,-1
23,Эпидемия коровируса,епідемія коронавірусу,-1
24,незнаю,не знаю,-1
25,стрельба в борисполе,стрілянина в Борисполі,-1
26,криминальная обстановка (Бровары,кримінальна обстановка (бровари,-1
27,Цены возросли,ціни зросли,0
28,Продажа земли,продаж землі,-1
29,Пандемия,пандемія,-1
30,несправедливость работы Верх,несправедливість роботи верх,-1
31,митинги оплаченные порошенко,мітинги оплачені порошенко,-1
32,карантин,карантин,1
33,вседозволенность,вседозволеність,-1
34,короновирус,короновірус,0
35,Обидели Врачей,образили лікарів,-1
36,Карантин,карантин,1
37,неготов сказать,неготовий сказати,-1
38,стрельба на востоке,стрілянина на сході,-1
39,Слуга народа бездействует,слуга народа бездействует,-1
40,Карантин,карантин,1
41,карантин,карантин,2
42,полиция,поліція,-1
43,Изнасилование в полиции,згвалтування у поліції,-1
44,незнаю,не знаю,-1
45,Закон о продаже земли,закон про продаж землі,-1
46,вирус,вірус,-1
47,незнаю,не знаю,-1
48,карантин,карантин,1
49,война,війни,-1
50,карантин,карантин,1
51,карантин,карантин,1
52,карантин,карантин,1
53,карантин,карантин,1
54,ситуация с короновирусом,ситуація з коронавірусом,-1
55,вся медреформа,вся медреформа,-1
56,карантин,карантин,1
57,карантин,карантин,1
58,вируб лісів,вируб лісів,-1
59,Противоречие во власти,протиріччя в органах влади,-1
60,Скандал на счет насилия девушки полицией,скандал щодо насильства дівчини поліцією,-1
61,Полиция,поліція,-1
62,маленькие пенсии,маленькі пенсії,-1
63,Зеленский без маски сфотографировался,зелений без маски сфотографувався,-1
64,Отмена маршруток с берега на берег,скасування маршруток з берега на берег,-1
65,нет,ні,-1
66,карантин,карантин,1
67,законы в раде принимают,закони у раді приймають,-1
68,полицейский беспредел,поліцейський свавілля,-1
69,Коронавирус,коронавірус,0
70,Ужасное качество Гордона,жахлива якість гордону,-1
71,карантин,карантин,2
72,не заканчивается война на востоке,не закінчується війна Сході,-1
73,Эпидемия,епідемія,-1
74,ковид,ковид,-1
75,падение экономики,падіння економіки,-1
76,ситуация в боярке,ситуація у боярці,-1
77,война,війни,-1
78,работа полиции,робота поліції,-1
79,карантин,карантин,2
80,карантін,карантін,-1
81,Сканда,сканда,-1
82,растрелы,розстріли,0
83,правду доносят,правду доносять,-1
84,Присмотр за инвалидами,нагляд за інвалідами,-1
85,карантин,карантин,2
86,карантин,карантин,2
87,короновирус,короновірус,0
88,боевые действия не прекратились,бойові дії не припинилися,-1
89,карантин,карантин,2
90,Коронавирус,коронавірус,0
91,продажа земли,продаж землі,-1
92,беспредел полиции,свавілля поліції,-1
93,вирус,вірус,-1
94,перестрелка в броварах,перестрелка в броварах,-1
95,карантин,карантин,1
96,зем,зем,-1
